[appr-ai-sal debug-mouse] cell=(257,13) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=4
[appr-ai-sal debug-mouse] cell=(257,13) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=4
[appr-ai-sal debug-mouse] cell=(257,12) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=3
[appr-ai-sal debug-mouse] cell=(257,12) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=3
[appr-ai-sal debug-mouse] cell=(257,12) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=3
[appr-ai-sal debug-mouse] cell=(257,12) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=3
[appr-ai-sal debug-mouse] cell=(257,11) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=2
[appr-ai-sal debug-mouse] cell=(257,11) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=2
[appr-ai-sal debug-mouse] cell=(257,11) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=2
[appr-ai-sal debug-mouse] cell=(257,10) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=1
[appr-ai-sal debug-mouse] cell=(257,10) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=1
[appr-ai-sal debug-mouse] cell=(257,10) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=1
[appr-ai-sal debug-mouse] cell=(257,10) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=1
[appr-ai-sal debug-mouse] cell=(257,9) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=0
[appr-ai-sal debug-mouse] cell=(257,9) pane-rail treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->railIdx=0
[?9l[?1000l[?1001l[?1002l[?1003l[?1005l[?1006l[?1015l[?1016l[0m[?9l[?1000l[?1001l[?1002l[?1003l[?1005l[?1006l[?1015l[?1016l[0m
